,cell_id,Cell_Depth,Cell_Layer,Cell_TargetedBrainArea,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,wp_amplitude_pre_FW,wp_amplitude_post_FW,vm_amplitude_pre_FW,vm_amplitude_post_FW,ap_fr_pre_FW,ap_fr_post_FW,wp_amplitude_pre_AT,wp_amplitude_post_AT,vm_amplitude_pre_AT,vm_amplitude_post_AT,ap_fr_pre_AT,ap_fr_post_AT
11,AP060_1,192.0,L2/3,C2,PV,14.8125,-0.0412216075526507,0.2518987341772152,-0.05332958355762644,0.005411744452741634,0.0007057048167311872,8.476603975122618e-05,-138.60155488721807,-131.22273233082709,-49.22247330276347,-50.52789902342827,30.483811429047737,26.435180223627327,193.53764031172648,199.91871736058155,-50.44326299326649,-47.84768045514072,34.45793694240045,78.61112095543491
12,AP060_2,232.0,L2/3,C2,PV,12.344262295081966,-0.04053847426495521,0.2233067729083666,-0.05684518556536606,0.005765025077413024,0.0006176315279601461,9.691277910559315e-05,-128.70803873684213,-121.5174162105263,-52.59255456451184,-53.76757731988818,42.61065266316579,29.207301825456366,193.53764031172645,199.9187173605815,-50.44326299326649,-47.84768045514072,34.45793694240045,78.61112095543493
14,AP061_2,205.0,L2/3,C2,PV,127.1195652173913,-0.0445900705416304,0.3299486960239418,-0.05459218463151978,0.005998152979008677,0.0007169659556562051,7.147679346727267e-05,-140.2328278195489,-125.60749774436093,-49.433932080002144,-49.12017752493481,41.438931161361765,53.58482477762297,193.53764031172648,199.9187173605815,-50.44326299326649,-47.84768045514071,34.45793694240045,78.61112095543493
15,AP062_1,216.0,L2/3,C2,PV,4.11,-0.03640670347170952,0.903771289537713,-0.05262651583741809,0.005996807219645231,0.0008451871094313024,6.129623303292587e-05,-142.46133067150635,-131.3359932849365,-50.32743176116179,-50.69940272478926,50.52987384777229,48.80530477446948,193.53764031172645,199.9187173605815,-50.443262993266494,-47.84768045514072,34.45793694240045,78.61112095543493
16,AP066_1,208.0,L2/3,C2,SST,7.3090909090909095,-0.04534472573042432,0.41057213930348263,-0.054971418916344744,0.0034074465486769465,0.00039674712847499727,6.186784986928757e-05,-143.53010625000002,-135.14031414473683,-56.01305484903959,-58.47200718724213,3.4383595898974746,1.2503125781445363,191.99794880768286,199.7563996003486,-52.285499861605125,-51.64905483769213,8.013646023467118,18.354518047608483
17,AP066_2,194.0,L2/3,C2,SST,7.8,-0.04307518413627657,0.38897435897435895,-0.05209352411397072,0.0034476639004712307,0.0003714700293155092,6.177408629233933e-05,-145.41247948717947,-136.75629082321188,-47.67283366156856,-52.05497037535119,14.619039375228422,6.9248081251082,191.99794880768286,199.7563996003486,-52.28549986160512,-51.64905483769213,8.013646023467118,18.354518047608483
18,AP068_1,196.0,L2/3,C2,SST,1.715686274509804,-0.04720374460047799,0.33428571428571424,-0.05809558102048883,0.002793262765734079,0.0003373135274961864,5.657624840878235e-05,-142.65447162022699,-131.8344141382869,-56.998003373471114,-59.204331148444055,5.442537104864453,4.020612996386352,191.99794880768283,199.7563996003486,-52.28549986160511,-51.64905483769213,8.013646023467118,18.354518047608483
19,AP069_1,213.0,L2/3,C2,PV,6.016666666666667,-0.040317097682955806,0.47873961218836564,-0.04892527594209359,0.004012008685439766,0.0005580118963164321,4.045237575314731e-05,-140.60556076555025,-131.9132937799043,-55.26943223777535,-50.085035897610766,6.3652276705540025,10.00250062515629,193.53764031172648,199.9187173605815,-50.443262993266494,-47.84768045514072,34.45793694240045,78.61112095543493
20,CG011_1,122.0,L2/3,C2,VIP,12.55,-0.041018341746884734,0.6907038512616203,-0.047886832462831076,0.0042170917796365325,0.0004955626778302767,4.645162473351107e-05,-84.60931961722486,-78.00610015948962,-55.73257041420203,-55.050501553521954,5.228579872240787,6.592557230216644,198.31097395670798,201.8107748003112,-45.56062888633394,-44.43994667473334,30.510010902167764,43.99788501271291
21,CG015_1,175.0,L2/3,C2,VIP,3.8,-0.0403254101658913,0.4668859649122808,-0.05401540269546727,0.004855482563891311,0.0005566085946828976,7.334798528278829e-05,-79.27670155195683,-76.04668657219975,-46.80416682542101,-44.65091885914488,6.283622187598182,12.054295625188347,198.31097395670793,201.8107748003112,-45.56062888633394,-44.43994667473335,30.510010902167764,43.99788501271291
22,CG016_1,110.0,L2/3,C2,VIP,4.358333333333333,-0.04192325170479704,1.0023900573613767,-0.05557519100166291,0.007054109019315841,0.000978837158204724,4.929628969405292e-05,-90.59722842105262,-78.36937473684212,-57.8195988004001,-53.88790309024756,3.0007501875468874,9.002250562640661,198.31097395670795,201.8107748003112,-45.56062888633393,-44.43994667473334,30.510010902167767,43.99788501271291
23,CG016_2,113.0,L2/3,C2,VIP,1.34375,-0.0401444191354944,0.694186046511628,-0.061951951886977046,0.00581205224729446,0.0007155027250168624,5.928178786793392e-05,-86.26127426900582,-78.24735925925926,-52.033453511614006,-50.80336352493679,0.0,0.0,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473334,30.510010902167764,43.99788501271291
24,CG055_1,128.0,L2/3,C2,VIP,11.588235294117647,-0.043028797702629566,0.2685279187817258,-0.05790597278845436,0.006783587923816347,0.0009343293608140802,8.489403785142756e-05,-86.63119518161602,-80.61651489992586,-54.01612376447362,-51.961239048261106,6.621373653272474,11.552183820603041,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473334,30.510010902167764,43.99788501271291
25,CG055_2,130.0,L2/3,C2,VIP,30.25,-0.034839714869665785,0.6042286501377411,-0.04398966214329793,0.006001252505210762,0.0007442046060256627,0.00011941855499390511,-79.115688377193,-72.33425932017546,-55.41042679994477,-53.457038922769634,5.105443027423521,10.836042343919312,198.31097395670793,201.81077480031124,-45.560628886333944,-44.43994667473335,30.510010902167764,43.99788501271291
26,CG055_3,153.0,L2/3,C2,VIP,15.0561797752809,-0.04586787688891156,0.3164179104477612,-0.060553328044191085,0.008204086985343985,0.0011452131000079574,7.819792759449016e-05,-76.83737289113198,-72.38854448449895,-54.32382822668484,-51.05255799187007,4.179126973524204,9.043356729593356,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473334,30.510010902167767,43.99788501271291
27,CG055_4,150.0,L2/3,C2,VIP,1.3,-0.03634228213394534,0.9070512820512823,-0.05279048561171809,0.003934375962272224,0.000510288756244567,4.565266245415073e-05,-82.75144923599319,-71.01278981324276,-56.07377416914706,-46.531215576098816,1.9359678629334753,21.779638458001596,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473335,30.510010902167764,43.99788501271291
28,CG055_5,130.0,L2/3,C2,VIP,2.838709677419355,-0.03802958347596144,0.7017045454545454,-0.0541886568991566,0.004593737518253245,0.0005716213478956837,5.8002040208703356e-05,-90.55683707093823,-77.84526224256292,-54.21460880005871,-55.800530060319424,3.04423932069974,0.21744566576426716,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473335,30.510010902167764,43.99788501271291
29,CG076_1,157.0,L2/3,C2,VIP,2.2333333333333334,-0.040788089764014636,0.6649253731343283,-0.06262332853671697,0.006292356865153562,0.0009131681981143071,6.732335346675887e-05,-91.04832999999998,-86.85671315789473,-57.77547152469367,-57.895029849237304,0.5001250312578145,0.0,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473334,30.510010902167764,43.99788501271291
30,CG077_1,145.0,L2/3,C2,VIP,5.45,-0.03846000376199888,0.9827217125382264,-0.054420594028291,0.006041886534002755,0.0007920576709615511,7.504172014644953e-05,-89.2108218045113,-87.5492496867168,-53.8818238670875,-49.88453062762746,5.001250312578144,13.51528358280046,198.31097395670795,201.81077480031124,-45.56062888633394,-44.43994667473335,30.510010902167764,43.99788501271291
31,JP902_1,348.0,L2/3,C2,EXC,0.3333333333333333,-0.04099663618009124,0.6,-0.06967238778650793,0.005806220557588966,0.0006705395017302831,7.290628284695061e-05,0.9724877484815588,2.2273497954498014,-56.0433281534167,-53.91962214806288,0.7896711019860229,1.316118503310038,1.313173468112943,4.325349469220194,-57.0484254199702,-58.19486837243365,0.0,0.0
32,JP903_1,305.0,L2/3,C2,EXC,0.8779342723004695,-0.03772730600906736,1.0871657754010695,-0.055352247755847406,0.004326613262346725,0.000529572765997368,4.690836073757122e-05,8.747344990206837,16.85988908868087,-64.89550496940922,-67.53947202100149,0.7144643303683063,0.0,6.090980361938474,11.033949113633895,-68.16757480389553,-66.25880541474655,0.8008008008008007,0.0
33,JP905_1,396.0,L2/3,C2,EXC,1.0789473684210527,-0.03840935676145006,0.8500000000000001,-0.06013350067768005,0.0055781800788941484,0.0006863043681628482,6.806851030668772e-05,3.7303077640179114,6.513153056094518,-56.60465295454315,-53.57440802901633,0.2941911948575379,1.4709559742876894,7.643777950176824,10.227398811487049,-55.262388775956005,-54.55509232645354,1.5400015400015403,0.7696155770192789
34,JP906_1,223.0,L2/3,C2,EXC,0.05263157894736842,-0.041090958795185026,0.85,-0.0670417260277844,0.004512480893665419,0.0005741272343919691,6.036882712066096e-05,-0.047827611650741335,-0.9725752952403629,-57.319249164181194,-56.285464692881156,0.0,0.3572321651841531,-4.364574601790487,-0.040696181758739874,-55.65034337135593,-48.444484119922805,0.588824118235883,4.708236471176765
35,JP907_1,197.0,L2/3,C2,EXC,3.45,-0.03969625610224038,0.9695652173913043,-0.05341865555459011,0.005251485935372496,0.0007385562144461322,5.4861674772280507e-05,-0.2593089404500541,0.9033764053287345,-55.9559323102421,-56.32795435127441,0.0,0.0,-5.679911762343515,-1.9128608137295595,-53.10291857125628,-53.0957348287962,0.0,0.0
36,SC901_1,229.0,L2/3,C2,EXC,4.4,-0.03719588194111394,0.8497727272727272,-0.051749572161178314,0.004967492758495217,0.0006773152273501459,7.466773018153537e-05,2.686999986529595,6.84077577246712,-39.79395552013003,-34.49057068954739,0.0,7.501875468867217,11.702268599476364,16.124640246507916,-40.17953265765765,-35.77685644190314,5.7200057200057195,29.30036446794826
37,SC902_1,350.0,L2/3,C2,EXC,0.7833333333333333,-0.03973154791592843,0.8941489361702128,-0.06133530781100473,0.0057091521251131545,0.0007245203222472406,6.011637528863192e-05,7.995572071788687,16.283467925860815,-53.94311323366556,-48.81119241864037,0.0,0.0,118.54199028718638,124.31870464001408,-58.477714407045205,-55.737320069902836,1.1531754519362096,3.0919623747213105
38,SC903_1,550.0,L5,C2,EXC,8.826777086135232,-0.041168752217039854,0.768593331600871,-0.0547557108467496,0.004901344912903766,0.0006143115174025968,6.432689274849363e-05,126.76043070465303,134.76933226203056,-58.83078097269191,-58.118750145906716,1.6021236036484532,1.7172351682789073,2.312529823778902,9.983301947842214,-54.17235673173173,-55.152533884129575,0.0,0.0
39,SC904_1,244.0,L2/3,C2,EXC,0.38235294117647056,-0.04489408685545388,0.3269230769230769,-0.06053799634696151,0.003221260732407148,0.0003800935664057508,3.951308338630601e-05,-4.240179594341338,11.417547704315396,-46.73616450987746,-46.261128797824455,0.0,0.0,1.5123297279221608,7.777964845815338,-46.758403005278005,-42.36221523403747,0.91000091000091,1.8190913638637503
40,SC905_1,250.0,L2/3,C2,EXC,0.5952380952380952,-0.043295168657068686,0.296,-0.05625758819610608,0.0032682728993671277,0.00043672500040453703,4.4885640691097494e-05,2.865885302339484,12.530836713887828,-60.02615841460365,-55.69156867341835,0.0,0.0,5.518028488027538,12.01028697808436,-61.55317917917918,-54.99243159079539,0.8008008008008007,0.40020010005002504
41,SC906_1,250.0,L2/3,C2,EXC,8.305555555555555,-0.043835165915268204,0.4419732441471572,-0.05221706555359588,0.0033307373041975,0.00041169736233246805,5.3311247666567774e-05,-1.3107485866940025,-0.4564320907547189,-59.27924080629532,-57.29713903085146,0.0,0.0,-4.867909170249671,2.25692569767967,-52.38893919961628,-49.548517813594295,0.0,4.16875104218776
42,SC907_1,212.0,L2/3,C2,EXC,8.826777086135234,-0.041168752217039854,0.7685933316008711,-0.0547557108467496,0.004901344912903766,0.0006143115174025967,6.432689274849363e-05,126.76043070465303,134.76933226203056,-58.83078097269191,-58.118750145906716,1.6021236036484532,1.717235168278907,16.360989482667705,17.397852959868345,-56.23583620159242,-53.819198222536656,4.448893337782226,1.6675004168751042
43,SC908_1,140.0,L2/3,C2,EXC,5.541666666666667,-0.04483427677540529,0.4317669172932332,-0.05586360107995513,0.003421915621773985,0.0004166182649429441,6.303955301222407e-05,3.289981586126455,3.635459926576541,-60.92252371128497,-61.98386605579966,1.4289286607366125,0.0,12.791835194534723,15.347014369988143,-64.07659235624514,-61.505702399811014,0.0,0.0
44,SC909_1,650.0,L5,C2,EXC,8.82677708613523,-0.041168752217039854,0.7685933316008711,-0.0547557108467496,0.004901344912903766,0.0006143115174025968,6.432689274849364e-05,126.76043070465303,134.76933226203056,-58.83078097269191,-58.11875014590672,1.6021236036484532,1.717235168278907,19.37408785567564,19.23741772346247,-62.87906095433668,-61.05082761969219,2.355296472943532,1.7655886766912865
